267,244,2,113963,11576,155,635
268,43,2,21544,83,74,62
269,245,2,93322,398,43,497
270,38,2,68084,2530,88,117
271,15,2,279092,8339,315,2371
272,14,2,692631,9086,1406,4582
273,246,2,155285,4719,64,207
274,247,2,93829,2229,36,469
275,248,2,31639,586,42,67
276,49,2,37524,126,77,45
277,17,2,358358,9211,731,1385
278,27,2,158173,6587,68,611
279,249,2,45200,930,67,116
280,20,2,286577,9606,248,1196
281,22,2,315177,4212,171,259
282,24,2,225044,2265,775,868
283,250,2,399491,6240,326,287
284,28,2,231104,12862,347,1824
285,251,2,5813,33,3,0
286,252,2,18317,1322,34,196
287,253,2,246134,5847,337,544
288,58,2,32483,23,10,135
289,34,2,113462,4566,142,757
290,35,2,311621,2425,145,465
291,32,2,94229,217,177,0
292,254,2,571588,386,47,113
293,26,2,272604,9576,260,1619
294,255,2,42336,4293,89,428
295,69,2,13750,305,10,39
296,256,2,6684,18,57,54
297,257,2,128523,4170,148,307
298,258,2,102639,3218,1085,475
299,33,2,20539417,840642,47715,124236
300,65,2,238413,732,92,618
301,259,2,41029,296,32,33
302,39,2,805124,44513,1756,3929
303,59,2,55140,136,14,46
304,36,2,120817,2896,210,594
305,30,2,58469,828,253,271
306,44,2,360223,15873,16033,7803
307,46,2,1775997,37124,1980,2695
308,260,2,6685,11,35,18
309,261,2,200060,4548,52,258
310,262,2,346924,4657,1838,734
311,54,2,12987863,216319,17751,12133
312,51,2,1981757,103407,1419,12354
313,48,2,1015189,2133,2483,1465
314,263,2,3653,47,3,25
315,50,2,2255529,48000,2970,8507
316,53,2,1155622,16060,883,1018
317,52,2,9892,250,7,19
318,264,2,5626588,408618,6121,28196
319,265,2,85643,170,45,0
320,55,2,212310,7589,227,463
321,57,2,180284,6073,125,512
322,60,2,301423,8409,349,952
323,63,2,835573,27068,2021,5165
324,64,2,3686343,130373,3628,6694
325,61,2,297840,10429,378,990
326,67,2,2922523,119348,1161,6736
327,66,2,595415,8795,450,1022
328,68,2,3643894,125205,8702,5687
329,84,2,9833,73,21,62
330,70,2,7563254,58209,10859,7120
331,88,2,54341,487,67,64
332,75,2,357078,19783,610,1732
333,78,2,1888789,44007,1997,1794
334,80,2,168446,374,48,191
335,76,2,263656,2556,5584,2377
336,81,2,515525,24115,1249,1860
337,71,2,39082222,1721383,23137,90352
338,266,2,1080230,2540,887,1040
339,89,2,873362,36365,594,2630
340,82,2,366892,9052,2993,3088
341,267,2,48372,382,11,29
342,86,2,216766,7108,95,319
343,73,2,81086,3085,150,250
344,268,2,3931,17,0,2
